COD_PERSONA,SEXO,PROCEDENCIA,RESIDENCIA,ESTADO_CIVIL,TIPO_COLEGIO,JALADOS,APROBADOS,BECA_VIGENTE,CANT_RESERVAS,COD_CURSO,COD_GRUPO,COD_PLAN,CREDITOS,EFICIENCIA_SEMESTRES,EXCESO_INASISTENCIA,HRS_INASISTENCIA,Q1_Nota_S,Q3_Nota_S,Q1_Obligatorio_S,Q3_Obligatorio_S,Q1_Electivo_S,Q3_Electivo_S,PONDERADO,PRCTJE_INASISTENCIA_CURSO,AVANCE_CREDITOS,Dropout,AGE
40721,M,local,local,S,private,1,14,0,0,14,15,1,3.2857144,1.3333334,0,0.0,12.923333,15.093333,12.741667,15.023334,15.29,16.99,15.147387,0.0,48,0,17
20131,M,local,local,S,public,7,67,0,0,66,74,1,3.4534013,1.4,2,11.657483,13.089464,14.674108,13.008214,14.528393,14.6675,14.6985,13.735162,16.071543,225,0,24
32773,M,local,local,S,private,11,22,0,0,20,33,1,3.5574074,3.3333333,1,6.8814816,11.071111,13.228611,10.948334,13.110278,15.245,15.245,10.394036,9.538324,77,0,20
29454,M,foreign,local,S,private,4,59,0,0,58,63,1,3.3474207,1.4444444,0,7.232143,13.28625,14.869792,13.165625,14.852292,15.045,15.045,13.59657,8.133742,197,0,21
1625,M,local,local,S,private,16,61,0,0,61,77,1,3.6613445,1.7,6,14.145938,12.331029,13.645,12.217343,13.580625,11.3805,11.8655,12.701666,20.383827,218,0,25
6652,M,local,local,S,public,18,66,0,84,68,84,1,3.4267857,2.0,2,14.4575,12.0865,13.71475,12.04025,13.67225,12.624286,13.131429,12.7132635,17.882101,222,0,26
40554,M,local,local,S,private,2,19,0,0,18,21,1,3.1458333,1.6666666,0,0.4375,13.435,15.2625,13.20375,15.0375,16.4,16.4,14.162733,0.9337068,66,0,18
40110,M,local,local,S,private,3,8,0,0,10,11,1,3.6785715,3.0,0,0.0,10.5325,14.32625,10.395,13.42,18.18,18.18,12.741209,0.0,27,0,17
37277,M,local,local,S,private,2,24,0,0,23,26,1,3.6033332,1.5,0,0.65,14.664,16.5345,14.534,16.3055,17.005,17.005,14.851346,0.98039216,84,0,18
955,F,local,local,S,private,0,62,0,0,62,62,1,3.6090477,1.0,1,4.7190475,13.79925,15.7705,13.8345,15.689,14.948334,16.123333,14.734884,7.9631495,222,0,21
29326,M,local,local,S,private,21,40,0,0,39,61,1,3.5761905,2.5,6,13.2,11.463393,13.244286,11.259286,13.128393,13.154166,13.2025,10.95591,18.481195,132,0,22
1936,M,local,local,S,private,5,61,0,0,61,66,1,3.672857,1.5,0,7.143651,13.010667,14.921,13.120833,14.839167,13.62375,14.38625,13.892454,10.45601,218,0,23
20017,F,local,local,S,private,11,69,0,0,67,80,1,3.5593839,1.7,0,7.1935573,12.932353,14.680441,12.816765,14.604559,15.15,15.15,13.701632,9.211747,230,0,23
35629,M,local,local,S,public,14,27,0,0,26,41,1,3.8862433,2.5,0,2.4814816,10.364445,12.585278,10.295834,12.3,13.453333,13.453333,10.961854,3.2496414,91,0,19
29758,M,local,local,S,public,12,29,0,41,30,41,1,3.6666667,2.0,2,14.165608,10.382778,12.234445,10.238889,12.236389,13.17,13.17,11.302863,14.123454,97,0,24
16472,M,local,local,S,private,24,68,0,0,66,92,1,3.5497355,1.8,5,11.752976,11.061111,13.435972,10.9675,13.328195,14.10625,14.43875,11.829264,12.985188,228,0,27
22588,M,local,local,S,private,9,66,1,0,66,75,1,3.6320684,1.6,3,15.26064,12.979531,15.056094,12.711875,15.017032,15.868333,15.868333,13.620126,17.099995,220,0,25
37902,M,local,local,S,private,6,17,0,0,21,23,1,3.575,1.6666666,0,2.5,11.025625,14.38375,11.025625,14.38375,11.025625,14.38375,12.184987,2.7919865,59,0,19
40275,M,local,local,S,public,2,6,1,8,6,8,1,3.75,1.0,0,0.0,12.8875,17.73,12.8875,17.73,12.8875,17.73,17.4118,0.0,22,0,18
15116,F,local,local,S,private,7,69,0,0,68,76,1,3.3017006,1.4,0,6.4988093,13.061607,14.6825,13.278929,14.506607,13.07625,13.942917,13.63435,7.705108,229,0,24
27073,M,local,local,S,public,8,65,0,73,66,73,1,3.3442178,1.5,0,2.8442178,13.145,15.013928,13.0973215,15.019107,15.078333,15.078333,13.905263,2.8334677,217,0,23
37828,M,local,local,S,public,1,20,1,21,19,21,1,3.4642856,1.0,0,1.5833334,15.0675,17.390833,14.851666,17.186666,17.44,17.44,16.412739,2.2875817,70,0,19
37716,F,local,local,S,public,11,12,0,0,16,23,1,3.7291667,2.5,0,2.5416667,9.091875,13.699375,8.8925,11.8975,14.325,14.325,10.414352,3.367434,40,0,18
41949,F,foreign,foreign,S,public,0,12,0,0,12,12,1,3.5833333,1.0,0,0.0,15.745,16.8875,15.68375,16.80125,18.52,18.52,16.06425,0.0,43,0,19
3552,F,local,local,S,public,9,61,0,0,61,70,1,3.7156463,1.4,0,9.148979,12.673393,14.6444645,12.5742855,14.43625,16.63,16.63,13.519316,12.321428,218,0,27
161,M,foreign,local,S,public,18,61,0,0,61,79,1,3.7171679,1.9,2,4.4940476,11.431184,12.7978945,11.343947,12.684211,14.733334,15.286667,11.887297,7.3993497,218,0,29
185,F,local,local,S,private,4,62,0,0,62,66,1,3.7816849,1.3,0,4.8164835,12.881731,14.328077,12.787308,14.149038,15.34625,15.83375,13.416366,8.088006,221,0,22
24544,F,local,local,S,public,15,64,0,79,64,79,1,3.4131653,1.8,0,5.522409,12.30397,14.366617,12.221324,13.913236,15.685357,15.810357,13.225257,5.3524446,212,0,25
544,F,local,local,S,private,15,61,0,0,61,76,1,3.6979167,1.6,4,3.263393,11.953281,13.311563,11.920313,13.2725,13.27,13.27,11.98245,5.680792,218,0,24
209,M,local,local,S,public,2,62,0,0,62,64,1,3.6705627,1.1,0,4.1268396,13.84409,16.19,13.985228,16.162727,14.401667,14.73,14.881566,6.549479,222,0,24
29038,M,local,local,S,private,2,63,0,0,62,65,1,3.3003664,1.4,0,2.525641,13.859615,15.71,13.796923,15.603847,17.213333,17.213333,14.301608,4.2368026,208,0,21
26632,M,local,local,S,public,17,46,0,0,45,63,1,3.714706,2.4285715,3,13.540196,12.157941,13.64,12.110147,13.607647,14.295,14.295,12.198812,13.938209,159,0,34
35877,M,local,local,S,private,0,40,1,0,38,40,1,3.5408163,1.1428572,0,1.1564626,13.535,15.101786,13.481428,15.06,14.21,14.21,13.608852,0.720098,139,0,20
953,M,local,local,S,private,5,61,0,0,61,66,1,3.7145834,1.2,2,2.545635,13.266042,14.979375,13.155625,14.814375,14.685,15.126667,13.81101,4.6012206,218,0,26
1280,F,local,local,S,private,7,61,0,0,61,68,1,3.700635,1.5,0,5.2463493,12.541833,14.3155,12.444167,14.1085,15.61625,15.65375,13.316106,9.204969,218,0,21
41567,F,foreign,local,S,public,4,7,0,0,10,11,1,3.55,3.0,0,0.0,10.46875,13.52125,10.045,13.51,13.26,13.26,11.820073,0.0,25,0,19
32807,M,local,local,S,public,3,52,1,0,52,55,1,3.4809523,1.2222222,0,2.8714285,14.20825,16.01575,14.14775,15.89975,15.37,15.37,14.884254,2.630692,175,0,21
5596,F,local,local,S,private,10,67,0,0,67,77,1,3.6167989,1.8,0,6.0457673,13.54375,14.686944,13.421805,14.600972,15.16375,15.397917,13.737069,9.419121,224,0,23
40443,F,local,local,S,private,1,13,0,0,12,14,1,3.625,1.0,0,0.0,14.6425,16.29,14.5475,15.82875,17.52,17.52,15.350529,0.0,46,0,18
40715,M,local,local,S,private,5,1,0,6,6,6,1,3.6666667,1.0,0,0.0,5.935,11.255,5.935,11.255,5.935,11.255,8.2536,0.0,3,0,18
25401,M,local,local,S,private,2,67,0,0,67,69,1,3.3438492,1.2,0,4.7337303,13.987291,16.198126,13.940833,16.007708,17.0575,17.3525,15.049353,6.562944,222,0,22
88,F,local,foreign,S,private,6,61,0,67,61,67,1,3.8632653,1.4,4,5.0238094,12.561429,14.175,12.509108,13.876965,14.566,14.566,13.122546,9.034588,218,0,23
33457,M,foreign,foreign,S,private,9,25,0,0,25,34,1,3.7823129,2.0,1,6.595238,11.717857,14.461429,11.663929,14.3825,14.42,14.42,11.707556,8.073818,83,0,21
41238,F,local,local,S,private,4,11,0,0,11,15,1,4.0833335,2.0,0,0.0,9.5575,13.431666,9.554167,12.756667,16.36,16.36,12.228026,0.0,40,0,17
1191,F,local,local,S,public,20,62,0,0,62,82,1,3.9251082,2.2,0,3.0536797,12.079659,13.614431,12.139205,13.475909,13.0895,13.3285,12.366205,4.9421763,220,0,24
36214,M,local,local,S,private,18,13,0,0,18,31,1,3.5055556,3.5,6,15.916667,8.562917,12.4425,8.6225,12.224167,9.82375,12.25125,9.068219,20.208729,41,0,19
40825,F,foreign,foreign,S,private,2,13,0,0,12,15,1,3.75,1.3333334,0,0.0,13.3475,16.085,13.055833,15.97,16.2,16.2,14.814587,0.0,46,0,18
39488,M,foreign,local,S,private,4,16,0,0,18,20,1,3.452381,4.0,0,4.2380953,13.05,15.105833,13.1175,14.929167,16.14,16.14,14.11469,5.490196,56,0,18
16644,M,local,local,S,private,5,68,0,0,66,73,1,3.4190476,1.5,0,3.622857,13.418834,14.9245,13.335,14.664333,16.5655,16.7485,13.815299,5.0859523,228,0,22
37950,M,foreign,local,S,private,0,25,0,0,25,25,1,3.4940476,1.0,0,0.16666667,15.459375,17.03875,15.1725,16.986876,17.88,17.88,16.150032,0.15686275,87,0,19
38250,M,local,local,S,private,6,8,0,14,9,14,1,3.5833333,4.0,0,0.33333334,10.96,13.4375,10.96,13.4375,10.96,13.4375,11.1352215,0.77030814,27,0,19
37808,M,foreign,local,S,private,1,26,0,0,26,27,1,3.5095239,1.5,0,1.5571429,13.6565,15.618,13.835,15.5175,13.535,13.535,14.479174,2.305737,89,0,18
2060,M,local,local,S,private,2,62,0,0,62,64,1,3.8287547,1.3,0,3.9748168,13.481346,15.1675,13.301346,15.036346,14.9915,15.1385,14.234182,5.228609,221,0,22
23905,M,local,local,S,private,5,27,0,0,27,32,1,3.3979166,1.5,1,9.3625,12.473125,14.008125,12.421875,14.063125,14.445,14.735,13.014563,12.690564,91,0,24
25273,M,local,local,S,public,4,66,0,0,66,70,1,3.3630953,1.2,1,3.5555556,14.923959,17.115208,14.827084,16.719584,17.651667,17.651667,15.367682,5.070028,220,0,23
29383,M,local,local,S,private,1,67,0,0,66,68,1,3.3492064,1.2,0,2.6527777,14.163125,15.562708,14.055417,15.401042,17.304375,17.428125,14.433376,3.7038639,222,0,21
43362,M,local,local,S,private,0,8,0,0,8,8,1,3.8333333,1.5,0,0.0,15.2725,17.80375,15.2725,17.80375,15.2725,17.80375,16.3825,0.0,30,0,24
35049,M,local,local,S,private,11,19,0,30,18,30,1,3.5349207,3.5,1,5.2619047,9.475,13.221666,9.905,13.142083,9.99,9.99,10.7109,8.418301,62,0,20
165,M,local,local,S,public,24,61,0,0,61,85,1,3.7125313,1.9,6,5.4350877,10.743027,12.560264,10.608421,12.4921055,12.396875,12.500625,10.898882,9.1933155,218,0,24
17455,M,local,local,S,private,2,57,0,0,55,59,1,3.4371033,2.1666667,2,7.734524,14.158334,15.847917,14.114583,15.699375,17.113333,17.113333,14.23921,9.81223,191,0,25
37797,M,foreign,local,S,private,5,23,0,0,23,28,1,3.7833333,1.5,0,4.65,11.118,14.0225,11.0245,13.8915,13.835,13.835,12.651385,5.6162467,77,0,18
25012,M,local,local,S,private,12,24,0,0,25,36,1,3.6888888,2.0,0,4.974074,11.421945,12.871388,11.421945,12.871388,11.421945,12.871388,11.999792,6.001634,82,0,26
19498,M,local,local,S,public,0,67,0,67,66,67,1,3.3190477,1.2,0,4.5869045,14.950625,16.52875,14.847083,16.277082,17.04,17.04,15.56093,6.0096574,223,0,22
1416,M,local,local,S,private,30,61,0,0,64,91,1,3.610431,2.1,3,10.582767,11.721548,13.183809,11.715119,13.263691,11.535625,11.579375,11.869114,15.308797,218,0,26
37205,M,local,local,S,private,3,23,0,0,23,26,1,3.6,1.5,0,1.1,12.6595,14.2785,12.437,14.197,14.763333,14.763333,13.1687,1.3574661,77,0,19
37417,M,foreign,local,S,private,7,12,0,0,13,19,1,3.9166667,1.6666666,0,6.4583335,10.57125,12.844375,10.4575,12.615625,12.7,12.7,12.159763,8.436533,43,0,18
37115,M,local,local,S,public,3,20,0,0,20,23,1,3.4166667,1.25,0,1.6666666,12.715,15.15125,12.649375,14.744375,15.1875,15.3825,13.549161,2.5575447,67,0,18
43077,M,foreign,local,S,private,5,2,0,0,6,7,1,3.857143,1.0,0,0.0,3.79,11.435,3.79,11.435,3.79,11.435,8.3195,0.0,8,0,18
9749,M,local,local,S,private,9,66,0,0,66,75,1,3.6449404,1.6,0,2.5767858,13.537188,14.932187,13.449843,14.764688,15.526667,15.526667,13.916853,3.8849673,222,0,22
708,M,local,local,S,private,16,62,0,546,62,78,1,4.072682,1.9,3,5.135965,10.093289,11.79,10.093026,11.608553,13.870833,13.870833,11.725065,4.623633,221,0,30
9437,M,local,local,S,private,20,65,0,510,65,85,1,3.412619,2.0,2,7.2969046,12.003375,13.551,11.923875,13.493375,15.032,15.032,12.324177,8.784083,220,0,27
38830,M,foreign,local,S,public,3,24,0,0,26,27,1,3.3630953,1.25,0,1.0476191,13.721875,16.435,13.458125,16.063126,16.98375,17.00125,14.598145,1.3253449,79,0,20
2026,M,local,local,S,private,23,63,0,0,63,86,1,4.116667,2.2,3,9.3,11.299432,12.6930685,11.171818,12.485568,14.379167,14.494166,12.371009,12.767843,224,0,27
35439,M,local,local,S,private,20,17,0,0,20,37,1,3.6833334,3.6666667,0,3.6916666,9.49525,12.197,9.2725,11.875,12.68,12.68,9.112138,4.8595653,59,0,20
27820,M,local,local,S,public,0,62,0,62,62,62,1,3.2455356,1.2,0,5.766369,15.651667,16.963541,15.566459,16.863125,18.2555,18.4825,16.383615,5.6752744,201,0,41
40547,M,local,local,S,private,0,7,0,7,6,7,1,3.857143,1.0,0,0.0,14.92,16.74,14.92,16.74,14.92,16.74,16.1277,0.0,27,0,17
15194,M,foreign,local,S,public,18,59,0,77,61,77,1,3.5325396,1.9,3,10.284127,10.919027,14.169723,10.820416,13.688889,14.1475,15.295834,12.080933,13.987777,197,0,26
40813,M,local,local,S,public,2,11,0,0,11,13,1,3.6785715,1.5,0,0.0,14.4275,16.8075,14.3775,16.5675,18.14,18.14,15.638807,0.0,39,0,21
5573,M,local,local,S,private,18,65,0,0,65,83,1,3.657423,1.7,1,8.913445,11.948089,13.124706,11.856323,13.108677,13.254583,13.437083,12.237034,12.363572,218,0,25
22802,M,local,local,S,private,0,67,0,0,66,67,1,3.53842,1.1,0,2.4228356,15.239091,17.127274,15.192273,17.010681,16.959,17.253,15.840152,3.5440445,225,0,22
39861,M,foreign,local,S,private,2,11,0,0,12,13,1,3.3888888,2.0,0,0.0,12.855833,14.245,12.846666,13.805,17.0,17.0,13.514416,0.0,39,0,17
1012,F,local,local,S,private,3,35,0,0,35,38,1,3.7354167,0.8,0,3.025,12.057187,14.099688,11.971875,13.623438,15.4025,15.4025,13.12435,5.4148393,125,0,24
36307,F,local,local,S,private,1,28,0,29,28,29,1,3.52,1.2,0,2.12,13.843,15.4235,14.0065,15.435,14.65,14.65,14.6058,2.4983096,97,0,19
32812,M,local,local,S,public,11,36,0,0,35,47,1,3.5,1.6666666,0,6.577778,11.951944,13.976944,11.926666,13.756945,14.0,14.0,12.337349,8.04464,124,0,21
40278,M,local,local,S,private,0,14,0,0,14,14,1,3.3174603,1.3333334,0,0.0,15.0325,16.145834,15.1725,16.135834,15.83,18.37,16.335571,0.0,48,0,17
37312,M,local,local,S,private,12,16,0,0,19,28,1,3.4563491,2.3333333,3,11.004762,10.172916,13.364166,10.019584,13.12125,14.805,14.805,10.98091,13.914566,55,0,20
93,F,foreign,foreign,S,private,16,61,0,77,61,77,1,3.6859944,1.7,1,4.5907564,12.136911,13.646029,12.082206,13.566618,12.88125,13.04375,12.763761,7.703081,218,0,29
25550,M,local,local,S,private,6,57,0,0,57,63,1,3.3593073,1.2,1,4.6290045,13.416819,15.140909,13.509091,15.115228,14.6825,15.5475,14.3666315,5.258014,192,0,23
19212,M,local,local,S,private,0,58,0,0,58,58,1,3.442857,1.0,0,3.835238,14.843,16.23,14.92375,16.16875,16.25,16.46,15.381701,5.654158,190,0,22
887,M,local,local,S,private,8,61,0,69,62,69,1,3.820408,1.4,0,1.9047619,11.95125,13.053928,11.933036,13.048928,12.39,13.085,12.365284,4.2486916,218,0,23
14101,M,foreign,local,S,private,17,50,0,67,50,67,1,3.4764705,1.7,6,13.706862,11.273971,13.335,11.121617,13.266029,12.0955,12.3705,12.013149,17.307579,169,0,34
31497,M,local,local,S,private,1,22,0,0,22,23,1,3.8666666,1.1666666,0,4.177778,15.1175,16.06625,15.083333,16.086666,16.82,16.82,15.797513,6.6155157,79,0,24
15586,M,local,local,S,private,13,66,0,474,66,79,1,3.341043,2.1,0,6.65034,13.451667,14.844881,13.270833,14.674286,14.864583,15.340417,13.965413,7.561802,219,0,25
6616,M,local,local,S,private,29,63,0,552,64,92,1,3.4703703,2.8,2,10.540741,11.845093,13.654352,11.753797,13.455,13.9595,14.2345,12.130177,15.005967,214,0,31
39851,M,local,local,S,private,4,10,0,0,10,14,1,4.05,4.0,0,0.0,11.970834,14.923333,11.89,14.335834,17.55,17.55,12.474565,0.0,34,0,17
28784,M,local,local,S,private,6,52,0,0,50,58,1,3.3333333,1.625,2,9.746032,12.966875,14.568334,12.931042,14.482708,15.135,15.135,12.800307,12.016227,176,0,22
28704,M,local,local,S,public,3,60,1,0,59,63,1,3.3952382,1.5555556,2,9.963737,13.773077,15.215577,13.676538,15.162885,15.09,15.09,13.895255,12.291533,201,0,21
1409,M,local,local,S,private,18,54,0,1008,54,72,1,4.127249,1.8,2,9.033003,11.232223,12.557361,11.188889,12.449445,14.6325,14.9575,12.481149,12.348837,186,0,46
44047,M,local,local,S,private,2,7,0,0,7,9,1,3.875,1.5,0,0.0,12.85625,15.47875,12.85625,15.47875,12.85625,15.47875,16.482088,0.0,26,0,30
8839,M,local,local,S,public,19,61,0,320,61,80,1,3.4920635,2.4444444,2,16.912699,11.920953,13.834167,11.739,13.69175,15.061875,15.125625,12.619533,20.602942,207,0,35
5499,F,local,local,S,public,0,65,1,0,65,65,1,3.4388096,1.0,0,2.8294048,14.438,16.227,14.675,16.282,14.392,14.392,15.2453785,3.8533602,220,0,22
40222,M,foreign,foreign,S,private,1,12,0,0,12,13,1,4.0,1.3333334,0,0.0,13.060833,14.553333,13.113334,14.7025,14.25,14.25,14.007246,0.0,43,0,17
36154,M,foreign,local,S,public,4,6,0,40,9,10,1,3.4583333,3.0,0,0.0,11.75625,14.64375,11.44375,14.3075,15.46,15.46,11.74284,0.0,19,0,19
38722,M,local,local,S,private,1,25,0,0,26,26,1,3.5059524,1.0,0,2.75,13.925,16.406876,13.978125,16.300625,15.18,15.18,15.060077,3.035445,87,0,25
35560,M,local,local,S,private,5,32,0,0,32,37,1,3.4126985,1.4,0,1.468254,12.445833,15.26375,12.37125,15.215,15.12,15.12,13.795168,1.7700053,108,0,19
40391,M,local,local,S,private,0,15,0,0,13,15,1,3.517857,1.0,0,0.0,14.79625,16.88375,14.87625,16.57875,15.845,17.695,16.070873,0.0,53,0,17
10726,F,local,local,S,private,14,61,0,0,61,75,1,4.0891533,1.8,0,5.7335978,12.699583,14.03375,12.545139,13.994166,14.205,14.41,13.137279,10.596097,218,0,24
17279,M,foreign,local,S,private,40,48,0,0,52,88,1,3.7027056,3.2857144,3,9.342965,9.263295,11.730454,9.202386,11.654431,13.9225,14.114166,10.13102,11.537953,163,0,34
40118,F,local,local,S,private,0,13,0,0,13,13,1,3.4761906,1.0,0,0.0,16.13,17.54625,16.0975,16.91375,17.945,19.075,16.460762,0.0,45,0,18
32589,M,local,local,S,public,3,53,1,0,53,56,1,3.5010822,1.3333334,0,1.439394,14.240909,15.772727,14.203182,15.673182,17.2,17.2,14.528589,1.7094792,178,0,21
39886,F,local,local,S,private,4,8,0,0,11,12,1,3.9555554,4.0,0,0.0,10.085,11.155833,10.084167,11.4025,13.09,13.09,11.853592,0.0,26,0,17
3001,M,foreign,local,S,private,16,62,0,0,62,78,1,3.4918768,1.7,0,9.67507,11.835735,13.909853,11.668971,13.696912,14.44875,14.87375,12.585004,13.841301,220,0,24
28587,M,local,foreign,S,private,15,42,0,0,41,57,1,3.6320512,2.8,0,2.6897435,11.552115,13.734423,11.441346,13.474808,13.735,13.915,11.524972,3.249054,143,0,21
40395,M,local,local,S,private,0,6,0,6,6,6,1,3.6666667,1.0,0,0.0,17.3875,18.3425,17.3875,18.3425,17.3875,18.3425,17.4827,0.0,22,0,18
32651,M,local,local,S,public,1,51,1,0,52,52,1,3.3439155,1.25,0,3.867725,15.373055,17.12111,15.441667,17.122223,15.29,15.29,15.8827305,5.1036954,172,0,20
1424,M,local,local,S,private,28,64,0,92,64,92,1,3.6568182,2.2,8,14.414394,10.8209095,12.817841,10.781932,12.606478,13.275,13.333571,11.210756,19.40685,226,0,29
